,wheelbase,curbweight,enginesize,boreratio,horsepower,fueleconomy,carlength,carwidth,gas,turbo,hardtop,hatchback,sedan,wagon,fwd,rwd,dohcv,l,ohc,ohcf,ohcv,rotor,five,four,six,three,twelve,two,Medium,Highend,price
117,0.7379310344827585,0.6369278510473235,0.27547169811320754,0.7642857142857145,0.39166666666666666,0.16186556927297674,0.7414634146341466,0.666666666666667,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.3235191897125267
57,0.2999999999999998,0.3479441427463149,0.03396226415094339,0.5642857142857143,0.22083333333333333,0.13443072702331965,0.4536585365853658,0.4500000000000002,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0.21168263740628568
44,0.27241379310344804,0.14972847168347558,0.10943396226415092,0.34999999999999987,0.09166666666666667,0.6982167352537723,0.2406504065040651,0.27500000000000036,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.09428528871456232
153,0.31379310344827616,0.30721489526764933,0.11698113207547167,0.3642857142857141,0.05833333333333329,0.5185185185185186,0.4650406504065039,0.27500000000000036,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.044684970954768866
85,0.3344827586206893,0.34018619084561674,0.23018867924528302,0.5785714285714285,0.16666666666666663,0.36625514403292186,0.5089430894308946,0.4250000000000007,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.04644754480909585
127,0.10000000000000009,0.49185415050426684,0.5018867924528303,0.8571428571428574,0.6624999999999999,0.159122085048011,0.45203252032520336,0.3916666666666666,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.7176902835013157
151,0.31379310344827616,0.21411947245927077,0.11698113207547167,0.3642857142857141,0.05833333333333329,0.5308641975308643,0.28617886178861784,0.27500000000000036,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.030286480313787778
204,0.7758620689655169,0.6105508145849496,0.3018867924528302,0.8857142857142855,0.27499999999999997,0.18930041152263383,0.7756097560975612,0.7166666666666677,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.4346109925028549
10,0.5034482758620689,0.35182311869666405,0.17735849056603775,0.6857142857142857,0.22083333333333333,0.29903978052126207,0.5804878048780493,0.375,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.28082021746685865
20,0.27241379310344804,0.1633048875096974,0.10943396226415092,0.34999999999999987,0.09166666666666667,0.6982167352537723,0.28780487804878074,0.27500000000000036,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.03617000148949903
170,0.4068965517241381,0.4619860356865788,0.32075471698113206,0.7714285714285716,0.2833333333333333,0.32647462277091904,0.5707317073170732,0.44166666666666643,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.15096072687552753
82,0.3206896551724139,0.5217222653219551,0.3584905660377358,0.7428571428571431,0.4041666666666666,0.17695473251028798,0.5219512195121951,0.5,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.18646045380070503
12,0.5034482758620689,0.474010861132661,0.38867924528301884,0.55,0.30416666666666664,0.2565157750342935,0.5804878048780493,0.375,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.3935256442083313
16,0.5827586206896553,0.7339022498060512,0.558490566037736,0.7714285714285716,0.5583333333333333,0.10699588477366256,0.8569105691056915,0.6333333333333337,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.8985899409165385
178,0.5620689655172417,0.5771916214119472,0.4150943396226415,0.5214285714285716,0.47083333333333327,0.19204389574759945,0.6894308943089431,0.6166666666666671,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.28399781540142
90,0.27241379310344804,0.20519782777346784,0.15849056603773587,0.32142857142857184,0.029166666666666646,0.8902606310013716,0.3934959349593501,0.29166666666666696,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.04917829303410953
89,0.27241379310344804,0.15554693560899924,0.1358490566037736,0.4357142857142857,0.08749999999999997,0.5185185185185186,0.3934959349593501,0.29166666666666696,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.00945831885209275
45,0.27241379310344804,0.1633048875096974,0.10943396226415092,0.34999999999999987,0.09166666666666667,0.6982167352537723,0.2406504065040651,0.27500000000000036,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.09428528871456232
161,0.31379310344827616,0.24592707525213342,0.139622641509434,0.4642857142857142,0.09166666666666667,0.4362139917695474,0.409756097560976,0.3416666666666677,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.08043294771858397
116,0.7344827586206897,0.6842513576415825,0.3433962264150943,0.828571428571429,0.1958333333333333,0.42386831275720155,0.7414634146341466,0.6750000000000007,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.3185541929397746
189,0.27241379310344804,0.29712955779674166,0.18113207547169813,0.4642857142857142,0.175,0.3141289437585733,0.2959349593495939,0.3250000000000002,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.1607914204855767
192,0.4758620689655175,0.42319627618308764,0.1358490566037736,0.33571428571428563,0.08333333333333331,0.5610425240054868,0.6357723577235772,0.5500000000000007,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.21664763417903776
148,0.3551724137931038,0.36152055857253684,0.17735849056603775,0.7714285714285716,0.14166666666666666,0.29903978052126207,0.5284552845528454,0.4250000000000007,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.07186832828558662
51,0.22413793103448265,0.15981380915438326,0.1132075471698113,0.34999999999999987,0.08333333333333331,0.5308641975308643,0.29268292682926855,0.3250000000000002,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.024254009234893986
175,0.5448275862068965,0.35919317300232734,0.23018867924528302,0.55,0.1833333333333333,0.39643347050754457,0.5609756097560976,0.5166666666666666,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.12089767141651359
39,0.3413793103448275,0.31652443754848725,0.1849056603773585,0.4357142857142857,0.15833333333333333,0.4087791495198903,0.5577235772357727,0.4083333333333341,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.09252271486023533
163,0.27241379310344804,0.26415826221877425,0.139622641509434,0.4642857142857142,0.09166666666666667,0.45130315500685864,0.448780487804878,0.30833333333333357,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.07298545255945582
37,0.3413793103448275,0.29014740108611325,0.1849056603773585,0.4357142857142857,0.15833333333333333,0.4087791495198903,0.4292682926829272,0.4083333333333341,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.06893898018966288
6,0.6620689655172414,0.525989138867339,0.2830188679245283,0.4642857142857142,0.2583333333333333,0.18930041152263383,0.8390243902439023,0.9250000000000007,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.3125961968124721
54,0.22413793103448265,0.17920868890612873,0.1132075471698113,0.3857142857142859,0.08333333333333331,0.5308641975308643,0.41788617886178914,0.3250000000000002,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.056526488257782614
25,0.2448275862068967,0.1943366951124903,0.10943396226415092,0.30714285714285716,0.08333333333333331,0.5308641975308643,0.2634146341463417,0.29166666666666696,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.039074524601558996
21,0.2448275862068967,0.15050426687354534,0.10943396226415092,0.30714285714285716,0.08333333333333331,0.6584362139917694,0.2634146341463417,0.29166666666666696,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.01127054267414726
48,0.9103448275862069,1.0,0.7433962264150944,0.7785714285714287,0.5333333333333332,0.05486968449931412,0.9512195121951219,0.7749999999999995,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.7554739089419593
9,0.44482758620689644,0.6070597362296353,0.2641509433962264,0.4214285714285715,0.4666666666666666,0.10699588477366256,0.603252032520325,0.6333333333333337,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.3162951194081724
23,0.2448275862068967,0.24825446082234293,0.139622641509434,0.34999999999999987,0.22499999999999998,0.32647462277091904,0.2634146341463417,0.29166666666666696,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.07047812918921603
35,0.3413793103448275,0.20248254460822346,0.11698113207547167,0.26428571428571446,0.11666666666666664,0.4663923182441701,0.36260162601626034,0.30833333333333357,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.05404398987140657
112,0.7344827586206897,0.6842513576415825,0.3433962264150943,0.828571428571429,0.1958333333333333,0.42386831275720155,0.7414634146341466,0.6750000000000007,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.29248795988282605
50,0.22413793103448265,0.15593483320403412,0.1132075471698113,0.34999999999999987,0.08333333333333331,0.4293552812071331,0.29268292682926855,0.3250000000000002,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0019115237575095534
62,0.4206896551724135,0.3576415826221877,0.23018867924528302,0.6071428571428574,0.14999999999999997,0.3813443072702332,0.5967479674796752,0.5166666666666666,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.12727769226950003
145,0.35862068965517224,0.39643134212567877,0.17735849056603775,0.7714285714285716,0.26249999999999996,0.3141289437585733,0.5024390243902439,0.4250000000000007,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.15245022590735313
146,0.35862068965517224,0.3110938712179985,0.17735849056603775,0.7714285714285716,0.14166666666666666,0.41152263374485604,0.526829268292683,0.4250000000000007,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.05821458716051833
19,0.27241379310344804,0.14972847168347558,0.10943396226415092,0.34999999999999987,0.09166666666666667,0.6982167352537723,0.2406504065040651,0.27500000000000036,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.029219006007646098
194,0.6103448275862067,0.5523661753297129,0.3018867924528302,0.8857142857142855,0.27499999999999997,0.2866941015089162,0.7756097560975612,0.5750000000000002,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.19418102378233454
55,0.2999999999999998,0.3460046547711404,0.03396226415094339,0.5642857142857143,0.22083333333333333,0.13443072702331965,0.4536585365853658,0.4500000000000002,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0.14465518097413238
142,0.3655172413793104,0.2723041117145074,0.17735849056603775,0.7714285714285716,0.14166666666666666,0.42386831275720155,0.5024390243902439,0.4250000000000007,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.06595998212601162
22,0.2448275862068967,0.15050426687354534,0.10943396226415092,0.30714285714285716,0.08333333333333331,0.5308641975308643,0.2634146341463417,0.29166666666666696,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.03125465468447444
42,0.3413793103448275,0.3122575640031032,0.1849056603773585,0.4357142857142857,0.21666666666666667,0.35390946502057613,0.4552845528455287,0.47500000000000053,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.12976019065587607
102,0.4758620689655175,0.7013188518231186,0.45283018867924524,0.6357142857142859,0.4333333333333333,0.12208504801097392,0.7073170731707319,0.5166666666666666,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.2304006752395611
185,0.36896551724137927,0.28083785880527545,0.18113207547169813,0.4642857142857142,0.15416666666666667,0.42112482853223593,0.4975609756097561,0.43333333333333357,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.076386475348791
33,0.2448275862068967,0.1753297129557797,0.11698113207547167,0.26428571428571446,0.11666666666666664,0.4663923182441701,0.14471544715447182,0.30833333333333357,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.035028052231766055
76,0.2448275862068967,0.16679596586501166,0.11698113207547167,0.30714285714285716,0.08333333333333331,0.6584362139917694,0.2634146341463417,0.3416666666666677,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.006727570627079071
119,0.2448275862068967,0.24825446082234293,0.139622641509434,0.34999999999999987,0.22499999999999998,0.32647462277091904,0.2634146341463417,0.29166666666666696,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.07047812918921603
179,0.5620689655172417,0.5927075252133436,0.4150943396226415,0.5214285714285716,0.47083333333333327,0.17695473251028798,0.6894308943089431,0.6166666666666671,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2700958244377141
114,0.9517241379310346,0.7746314972847168,0.3433962264150943,0.828571428571429,0.1958333333333333,0.27983539094650206,0.9398373983739843,0.6750000000000007,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.2968323320589842
95,0.27241379310344804,0.20946470131885186,0.1358490566037736,0.4357142857142857,0.08749999999999997,0.5185185185185186,0.39837398373983746,0.29166666666666696,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.06655578173874185
84,0.3206896551724139,0.5577967416602017,0.3584905660377358,0.7499999999999998,0.4041666666666666,0.17695473251028798,0.5219512195121951,0.5,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23263492378729955
196,0.6103448275862067,0.5612878200155158,0.3018867924528302,0.8857142857142855,0.27499999999999997,0.3017832647462277,0.7756097560975612,0.5750000000000002,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.26977309964748525
